ID	ISO	Glottocode	Language	Slug	NLexemes	NCognates	Author	Latitude	Longitude	Classification
152	pkp	puka1242	Pukapuka	Pukapuka_152	386	329	Mary & Kevin Salisbury	-10.9247	-165.8438	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Pukapuka
155	tkp	tiko1237	Tikopia	Tikopia_155	274	268	POLLEX 2000 (Bruce Biggs & Ross Clark)	-13.3826	168.9910	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Futunic
156	fut	futu1245	Futuna-Aniwa	Futuna-Aniwa_156	323	302	Kenneth Fakamuri, POLLEX 2002 (Bruce Biggs & Ross Clark)	-14.9867	-177.3905	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Futunic
163	tvl	tuva1244	Tuvalu	Tuvalu_163	213	197	Geoffrey Jackson	-8.5294	179.1843	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Ellicean
206	mnv	mung1271	Rennellese	Rennellese_206	275	270	POLLEX 2000 (Bruce Biggs & Ross Clark)	-11.0667	160.7860	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Futunic
210	fud	east2447	Futuna, East	Futuna_East_210	342	332	POLLEX 2000 (Bruce Biggs & Ross Clark)	-14.7243	-178.1758	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Futunic
217	kpg	kapi1249	Kapingamarangi	Kapingamarangi_217	276	252	POLLEX 2000 (Bruce Biggs & Ross Clark)	1.0500	154.7500	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Ellicean
229	mmw	emae1237	Emae	Emae_229	200	197	POLLEX 2000 (Bruce Biggs & Ross Clark)	-17.0967	168.7273	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Futunic
235	pnh	penr1237	Penrhyn	Penrhyn_235	216	211	POLLEX 2000 (Bruce Biggs & Ross Clark)	-9.0000	-158.0000	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central, Tahitic
238	ojv	onto1237	Luangiua	Luangiua_238	230	218	POLLEX 2000 (Bruce Biggs & Ross Clark)	-5.1974	159.6544	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Ellicean
239	mrv	mang1401	Mangareva	Mangareva_239	372	340	POLLEX 2000 (Bruce Biggs & Ross Clark)	-21.5879	-136.3819	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central, Marquesic
242	mxe	mele1250	Ifira-Mele (Mele-Fila)	Ifira-Mele_Mele-Fila_242	173	172	POLLEX 2000 (Bruce Biggs & Ross Clark)	-17.7330	168.2996	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Futunic
243	sky	sika1261	Sikaiana	Sikaiana_243	240	230	POLLEX 2000 (Bruce Biggs & Ross Clark)	-8.3854	162.7405	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Ellicean
244	nho	taku1257	Takuu	Takuu_244	190	188	POLLEX 2000 (Bruce Biggs & Ross Clark)	-4.7500	157.0333	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Ellicean
245	tkl	toke1240	Tokelau	Tokelau_245	189	184	POLLEX 2000 (Bruce Biggs & Ross Clark)	-8.9518	-171.5366	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Tokelauan
246	pmt	tuam1242	Tuamotu	Tuamotu_246	289	279	POLLEX 2000 (Bruce Biggs & Ross Clark)	-18.5148	-140.6006	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central, Tahitic
247	niu	niue1239	Niue	Niue_247	282	272	POLLEX 2000 (Bruce Biggs & Ross Clark)	-17.6564	-169.5922	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Tongic
253	aud	anut1237	Anuta	Anuta_253	244	233	POLLEX 2000 (Bruce Biggs & Ross Clark)	-11.6108	169.8503	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Futunic
258	wls	wall1257	Uvea, East	Uvea_East_258	295	287	POLLEX 2000 (Bruce Biggs & Ross Clark)	-13.3622	-175.9589	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, East Uvean-Niuafo'ou
259	uve	west2516	Uvea, West	Uvea_West_259	162	154	POLLEX 2000 (Bruce Biggs & Ross Clark)	-20.6431	166.5637	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Futunic
264	rap	rapa1244	Rapanui (Easter Island)	Rapanui_Easter_Island_264	443	381	POLLEX 2000 (Bruce Biggs & Ross Clark)	-27.1178	-109.3716	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Rapanui
375	piv	pile1238	Vaeakau-Taumako	Vaeakau-Taumako_375	262	225	Even Hovdhaugen  (fieldwork)	-10.2200	166.2200	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Futunic
512	wyy	west2519	Western Fijian (Navosa)	Western_Fijian_Navosa_512	213	162	Pita Tuisawau/Self (fathers language)	-17.0000	177.3000	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, West Fijian-Rotuman, West Fijian
559	mnv	mung1270	Bellona	Bellona_559	210	193	Tryon & Hackman (1983)	-11.6167	160.2500	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Futunic
589	rkh	raka1237	Manihiki	Manihiki_589	302	262	Ross Clark, Mary Salisbury	-10.4000	-161.0000	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central, Tahitic
653	fij	sout2864	Fijian (Suva Dialect)	Fijian_Suva_Dialect_653	160	142	J. Saunders from informant Josefa Are Nakaivalu	-16.5571	179.2421	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, East Fijian
654	mrq	nuku1261	Marquesan (Nukuhiva dialect)	Marquesan_Nukuhiva_Dialect_654	163	145	Andrew Pawley	-8.8941	-140.1079	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central, Marquesic
659	num	niua1240	Niuafo'ou	Niuafoou_659	99	94	Dye (1980)	-15.6014	-175.6399	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, East Uvean-Niuafo'ou
664	ray	rapa1245	Rapa	Rapa_664	98	92	POLLEX (http://pollex.org.nz)	-27.6304	-144.3375	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central
676		mori1267	Mooriori	Mooriori_676	187	170	POLLEX	-	-	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central, Tahitic
753	tvl	nort2844	Nanumea	Nanumea_753	287	263	Peter Ranby	-7.4778	178.6919	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Ellicean
763	mri	sout2867	South Island Maori	South_Island_Maori_763	207	176	Harlow 1987	-40.0000	176.0000	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central, Tahitic
1004	fut	aniw1237	Futuna-Aniwa (Aniwa)	Futuna-Aniwa_Aniwa_1004	183	162	Tryon (1976)	-19.5303	170.2150	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, Samoic-Outlier, Futunic
