ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
11-1_hand-1-1,11-1_hand-1,liga-na,hand-1,false,expert,Greenhilletal2008,,,
11-1_hand-1-2,11-1_hand-1,liga-na,hand-64,false,expert,Greenhilletal2008,,,
11-1_hand-1-3,11-1_hand-1,liga-na,hand-34,false,expert,Greenhilletal2008,,,
11-2_left-1-1,11-2_left-1,i mawī,left-1,false,expert,Greenhilletal2008,,,
11-2_left-1-2,11-2_left-1,i mawī,left-59,false,expert,Greenhilletal2008,,,
11-3_right-1-1,11-3_right-1,i matau,right-5,false,expert,Greenhilletal2008,,,
11-3_right-1-2,11-3_right-1,i matau,right-13,false,expert,Greenhilletal2008,,,
11-4_legfoot-1-1,11-4_legfoot-1,yava-na,legfoot-1,false,expert,Greenhilletal2008,,,
11-4_legfoot-1-2,11-4_legfoot-1,yava-na,legfoot-100,false,expert,Greenhilletal2008,,,
11-5_towalk-1-1,11-5_towalk-1,lako,towalk-1,false,expert,Greenhilletal2008,,,
11-6_roadpath-1-1,11-6_roadpath-1,sala,roadpath-1,false,expert,Greenhilletal2008,,,
11-7_tocome-1-1,11-7_tocome-1,lako mai,tocome-1,false,expert,Greenhilletal2008,,,
11-9_toswim-1-1,11-9_toswim-1,qalo,toswim-5,false,expert,Greenhilletal2008,,,
11-10_dirty-1-1,11-10_dirty-1,duka,dirty-17,false,expert,Greenhilletal2008,,,
11-11_dust-1-1,11-11_dust-1,kuvu ni qele,dust-1,false,expert,Greenhilletal2008,,,
11-12_skin-1-1,11-12_skin-1,kuli-na,skin-1,false,expert,Greenhilletal2008,,,
11-13_back-1-1,11-13_back-1,daku-na,back-12,false,expert,Greenhilletal2008,,,
11-14_belly-1-1,11-14_belly-1,kete-na,belly-7,false,expert,Greenhilletal2008,,,
11-15_bone-1-1,11-15_bone-1,sui-na,bone-52,false,expert,Greenhilletal2008,,,
11-16_intestines-1-1,11-16_intestines-1,wāwā,intestines-11,false,expert,Greenhilletal2008,,,
11-17_liver-1-1,11-17_liver-1,yate-na,liver-1,false,expert,Greenhilletal2008,,,
11-18_breast-1-1,11-18_breast-1,sucu-na,breast-1,false,expert,Greenhilletal2008,,,
11-20_toknowbeknowledgeable-1-1,11-20_toknowbeknowledgeable-1,kila-a,toknowbeknowledgeable-18,false,expert,Greenhilletal2008,,,
11-21_tothink-1-1,11-21_tothink-1,nanu-ma,tothink-28,false,expert,Greenhilletal2008,,,
11-22_tofear-1-1,11-22_tofear-1,rere-vaka,tofear-93,false,expert,Greenhilletal2008,,,
11-23_blood-1-1,11-23_blood-1,drā,blood-1,false,expert,Greenhilletal2008,,,
11-24_head-1-1,11-24_head-1,ulu-na,head-1,false,expert,Greenhilletal2008,,,
11-25_neck-1-1,11-25_neck-1,domo-na,neck-46,false,expert,Greenhilletal2008,,,
11-26_hair-1-1,11-26_hair-1,drau ni ulu-na,hair-40,false,expert,Greenhilletal2008,,,
11-27_nose-1-1,11-27_nose-1,ucu-na,nose-1,false,expert,Greenhilletal2008,,,
11-28_tobreathe-1-1,11-28_tobreathe-1,cegu-va,tobreathe-40,false,expert,Greenhilletal2008,,,
11-30_mouth-1-1,11-30_mouth-1,gusu-na,mouth-2,false,expert,Greenhilletal2008,,,
11-31_tooth-1-1,11-31_tooth-1,bati-na,tooth-6,false,expert,Greenhilletal2008,,,
11-32_tongue-1-1,11-32_tongue-1,yame-na,tongue-7,false,expert,Greenhilletal2008,,,
11-33_tolaugh-1-1,11-33_tolaugh-1,dredre,tolaugh-50,false,expert,Greenhilletal2008,,,
11-34_tocry-1-1,11-34_tocry-1,tagi,tocry-1,false,expert,Greenhilletal2008,,,
11-35_tovomit-1-1,11-35_tovomit-1,lua-ca,tovomit-8,false,expert,Greenhilletal2008,,,
11-36_tospit-1-1,11-36_tospit-1,kasivi-ta,tospit-19,false,expert,Greenhilletal2008,,,
11-36_tospit-1-2,11-36_tospit-1,kasivi-ta,tospit-55,false,expert,Greenhilletal2008,,,
11-37_toeat-1-1,11-37_toeat-1,kani-a,toeat-1,false,expert,Greenhilletal2008,,,
11-38_tochew-1-1,11-38_tochew-1,mama-a,tochew-1,false,expert,Greenhilletal2008,,,
11-38_tochew-2-1,11-38_tochew-2,namu-ta,tochew-7,false,expert,Greenhilletal2008,,,
11-39_tocook-1-1,11-39_tocook-1,saqa-a,tocook-2,false,expert,Greenhilletal2008,,,
11-40_todrink-1-1,11-40_todrink-1,gunu-va,todrink-1,false,expert,Greenhilletal2008,,,
11-41_tobite-1-1,11-41_tobite-1,kati-a,tobite-1,false,expert,Greenhilletal2008,,,
11-41_tobite-1-2,11-41_tobite-1,kati-a,tobite-55,false,expert,Greenhilletal2008,,,
11-42_tosuck-1-1,11-42_tosuck-1,sucu-ma,tosuck-25,false,expert,Greenhilletal2008,,,
11-42_tosuck-2-1,11-42_tosuck-2,domi-ca,tosuck-7,false,expert,Greenhilletal2008,,,
11-43_ear-1-1,11-43_ear-1,daliga-na,ear-1,false,expert,Greenhilletal2008,,,
11-44_tohear-1-1,11-44_tohear-1,rogo-ca,tohear-1,false,expert,Greenhilletal2008,,,
11-45_eye-1-1,11-45_eye-1,mata-na,eye-1,false,expert,Greenhilletal2008,,,
11-46_tosee-1-1,11-46_tosee-1,rai-ca,tosee-37,false,expert,Greenhilletal2008,,,
11-47_toyawn-1-1,11-47_toyawn-1,lāmawa,toyawn-19,false,expert,Greenhilletal2008,,,
11-48_tosleep-1-1,11-48_tosleep-1,moce,tosleep-10,false,expert,Greenhilletal2008,,,
11-49_toliedown-1-1,11-49_toliedown-1,davo,toliedown-40,false,expert,Greenhilletal2008,,,
11-50_todream-1-1,11-50_todream-1,tadra-a,todream-16,false,expert,Greenhilletal2008,,,
11-51_tosit-1-1,11-51_tosit-1,dabe-ca,tosit-62,false,expert,Greenhilletal2008,,,
11-52_tostand-1-1,11-52_tostand-1,tū,tostand-2,false,expert,Greenhilletal2008,,,
11-53_personhumanbeing-1-1,11-53_personhumanbeing-1,tamata,personhumanbeing-1,false,expert,Greenhilletal2008,,,
11-53_personhumanbeing-1-2,11-53_personhumanbeing-1,tamata,personhumanbeing-66,false,expert,Greenhilletal2008,,,
11-54_manmale-1-1,11-54_manmale-1,tagane,manmale-1,false,expert,Greenhilletal2008,,,
11-54_manmale-1-2,11-54_manmale-1,tagane,manmale-14,false,expert,Greenhilletal2008,,,
11-55_womanfemale-1-1,11-55_womanfemale-1,yalewa,womanfemale-55,false,expert,Greenhilletal2008,,,
11-56_child-1-1,11-56_child-1,gone,child-27,false,expert,Greenhilletal2008,,,
11-58_wife-1-1,11-58_wife-1,wati-na,wife-30,false,expert,Greenhilletal2008,,,
11-59_mother-1-1,11-59_mother-1,tina-na,mother-1,false,expert,Greenhilletal2008,,,
11-60_father-1-1,11-60_father-1,tama-na,father-1,false,expert,Greenhilletal2008,,,
11-61_house-1-1,11-61_house-1,vale,house-14,false,expert,Greenhilletal2008,,,
11-63_name-1-1,11-63_name-1,yaca-na,name-1,false,expert,Greenhilletal2008,,,
11-63_name-1-2,11-63_name-1,yaca-na,name-18,false,expert,Greenhilletal2008,,,
11-64_tosay-1-1,11-64_tosay-1,kaya,tosay-168,false,expert,Greenhilletal2008,,,
11-65_rope-1-1,11-65_rope-1,dali,rope-1,false,expert,Greenhilletal2008,,,
11-66_totieupfasten-1-1,11-66_totieupfasten-1,vau-ca,totieupfasten-11,false,expert,Greenhilletal2008,,,
11-66_totieupfasten-2-1,11-66_totieupfasten-2,buki-a,totieupfasten-41,false,expert,Greenhilletal2008,,,
11-67_tosew-1-1,11-67_tosew-1,cula-a,tosew-31,false,expert,Greenhilletal2008,,,
11-68_needle-1-1,11-68_needle-1,i-cula,needle-21,false,expert,Greenhilletal2008,,,
11-68_needle-2-1,11-68_needle-2,sau,needle-1,false,expert,Greenhilletal2008,,,
