ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
11-41_tobite-1,14291,11,41_tobite,kati-a,kati-a,k a t i + a,,120166,"1,55",false,^k a t i - a$,default
11-42_tosuck-1,73601,11,42_tosuck,sucu-ma,sucu-ma,s u c/ts u + m a,,120166,25,false,^s u c u - m a$,default
11-42_tosuck-2,73602,11,42_tosuck,domi-ca,domi-ca,d o m i + c/ts a,,120166,7,false,^d o m i - c a$,default
11-43_ear-1,15005,11,43_ear,daliga-na,daliga-na,d a l i g a + n a,,120166,1,false,^d a l i g a - n a$,default
11-44_tohear-1,15362,11,44_tohear,rogo-ca,rogo-ca,r o g o + c/ts a,,120166,1,false,^r o g o - c a$,default
11-45_eye-1,15719,11,45_eye,mata-na,mata-na,m a t a + n a,,120166,1,false,^m a t a - n a$,default
11-46_tosee-1,16076,11,46_tosee,rai-ca,rai-ca,r a i + c/ts a,,120166,37,false,^r a i - c a$,default
11-47_toyawn-1,16433,11,47_toyawn,[vaka]lāmawa,lāmawa,l ā/a m a w a,,120166,19,false,^l ā m a w a$,default
11-48_tosleep-1,16790,11,48_tosleep,moce,moce,m o c/ts e,,120166,10,false,^m o c e$,default
11-49_toliedown-1,17147,11,49_toliedown,davo,davo,d a v o,,120166,40,false,^d a v o$,default
11-50_todream-1,17504,11,50_todream,tadra-a,tadra-a,t a d r a + a,,120166,16,false,^t a d r a - a$,default
11-51_tosit-1,17861,11,51_tosit,dabe-ca,dabe-ca,d a b e + c/ts a,,120166,62,false,^d a b e - c a$,default
11-52_tostand-1,18218,11,52_tostand,tū,tū,t ū,,120166,2,false,^t ū$,default
11-53_personhumanbeing-1,18575,11,53_personhumanbeing,tamata,tamata,t a m a t a,,120166,"1,66",false,^t a m a t a$,default
11-54_manmale-1,18932,11,54_manmale,tagane,tagane,t a g a n e,,120166,"1,14",false,^t a g a n e$,default
11-55_womanfemale-1,19289,11,55_womanfemale,yalewa,yalewa,y/j a l e w a,,120166,55,false,^y a l e w a$,default
11-56_child-1,19646,11,56_child,gone,gone,g o n e,,120166,27,false,^g o n e$,default
11-57_husband-1,20003,11,57_husband,wati-na,wati-na,w a t i + n a,,120166,,false,^w a t i - n a$,default
11-58_wife-1,20360,11,58_wife,wati-na,wati-na,w a t i + n a,,120166,30,false,^w a t i - n a$,default
11-59_mother-1,20717,11,59_mother,tina-na,tina-na,t i n a + n a,,120166,1,false,^t i n a - n a$,default
11-60_father-1,21074,11,60_father,tama-na,tama-na,t a m a + n a,,120166,1,false,^t a m a - n a$,default
11-61_house-1,21431,11,61_house,vale,vale,v a l e,,120166,14,false,^v a l e$,default
11-62_thatchroof-1,21788,11,62_thatchroof,i tibitibi,i tibitibi,i + t i b i t i b i,,120166,,false,^i + t i b i t i b i$,default
11-63_name-1,22145,11,63_name,yaca-na,yaca-na,y/j a c/ts a + n a,,120166,"1,18",false,^y a c a - n a$,default
11-64_tosay-1,22502,11,64_tosay,kaya,kaya,k a y/j a,,120166,168,false,^k a y a$,default
11-65_rope-1,22859,11,65_rope,dali,dali,d a l i,,120166,1,false,^d a l i$,default
11-65_rope-2,343585,11,65_rope,tàly,tàly,t ʔ à/a l y/j,,120166,,false,^t à l y $,default
11-66_totieupfasten-1,74947,11,66_totieupfasten,vau-ca,vau-ca,v a u + c/ts a,,120166,11,false,^v a u - c a$,default
11-66_totieupfasten-2,74948,11,66_totieupfasten,buki-a,buki-a,b u k i + a,,120166,41,false,^b u k i - a$,default
11-67_tosew-1,23573,11,67_tosew,cula-a,cula-a,c u l a + a,,120166,31,false,^c u l a - a$,default
11-68_needle-1,75143,11,68_needle,i-cula,i-cula,i + c/ts u l a,,120166,21,false,^i - c u l a$,default
11-68_needle-2,75144,11,68_needle,sau[laca],sau,s a u,,120166,1,false,^s a u$,default
11-69_tohunt-1,24287,11,69_tohunt,vaka-sasa-a,vaka-sasa-a,v a k a + s a s a + a,,120166,88,false,^v a k a - s a s a - a$,default
11-70_toshoot-1,24644,11,70_toshoot,vana,vana,v a n a,,120166,1,false,^v a n a$,default
11-71_tostabpierce-1,25001,11,71_tostabpierce,sua-ka,sua-ka,s u a + k a,,120166,67,false,^s u a - k a$,default
11-72_tohit-1,75358,11,72_tohit,vacu-a,vacu-a,v a c/ts u + a,,120166,,false,^v a c u - a$,default
